subject,location,strenght,centroid,min,max
1,1,1,-36.15481353,-110,23
2,1,1,-7.898854962,-27,11
3,1,1,20.80753809,-23,61
4,1,1,128.8141762,115,142
5,1,1,41.83941606,18,67
6,1,1,-0.157142857,-26,13
8,1,1,-36.6097561,-97,12
9,1,1,-28.31095406,-109,40
10,1,1,98.27577483,64,132
11,1,1,106.475,99,114
12,1,1,54.23248731,-8,115
1,1,2,-13.14074733,-107,69
2,1,2,-16.6925859,-38,5
3,1,2,76.33416708,-9,136
4,1,2,132.5232975,122,144
5,1,2,51.30813953,-33,130
6,1,2,25.7,-18,119
8,1,2,-32.94067797,-107,7
9,1,2,-5.396825397,-37,19
10,1,2,15.61538462,-44,100
11,1,2,10.92319508,-15,110
12,1,2,28.2102405,-13,120
1,4,1,14.408,-1,31
2,4,1,2.978062157,-16,22
3,4,1,59.95606327,-24,115
4,4,1,1.911696359,-30,33
5,4,1,25.3190184,-61,80
6,4,1,74.60483871,40,115
8,4,1,-0.397350993,-28,28
9,4,1,6.213114754,-46,61
10,4,1,77.78525933,19,136
11,4,1,102.0471698,96,109
12,4,1,9.611925709,-34,86
1,4,2,47.81648241,-37,141
2,4,2,38.58714859,-28,118
3,4,2,98.39371728,46,115
4,4,2,5.356896552,-40,43
5,4,2,29.36778846,-22,95
6,4,2,62.58333333,37,88
8,4,2,-1.683453237,-32,33
9,4,2,4.436619718,-46,56
10,4,2,1.681818182,-35,35
11,4,2,8.868921776,-31,38
12,4,2,-0.700170358,-17,112
1,7,1,-2.189069424,-37,26
2,7,1,-0.111310592,-18,19
3,7,1,-3.928571429,-32,24
4,7,1,0.101584343,-37,34
5,7,1,87.26041667,15,131
6,7,1,-16.02816901,-42,7
8,7,1,-22.79874214,-129,25
9,7,1,24.34306569,-63,102
10,7,1,108.3650953,89,130
11,7,1,98,96,100
12,7,1,49.24570025,27,72
1,7,2,45.88022849,-61,134
2,7,2,92.39660057,-12,131
3,7,2,20.07774086,-28,87
4,7,2,11.53144904,-22,45
5,7,2,39.32589286,-34,122
6,7,2,-17.89156627,-51,18
8,7,2,-16.53383459,-107,34
9,7,2,63.79057592,-18,135
10,7,2,40.83580891,-6,88
11,7,2,13.50511509,-16,109
12,7,2,-17.54831933,-43,131
1,2,1,-71.74518519,-98,34
2,2,1,-10.94767932,-50,29
3,2,1,100.4878049,96,105
4,2,1,62.72744015,38,87
5,2,1,57.23188406,29,81
6,2,1,112.9875,84,136
8,2,1,57.67567568,40,82
9,2,1,54.89932886,30,90
10,2,1,103.3904,74,130
11,2,1,65.45283019,-12,111
12,2,1,46.23412698,16,77
1,2,2,19.36259599,-89,174
2,2,2,43.10184049,-13,133
3,2,2,42.37818336,-14,128
4,2,2,59.21746575,-8,87
5,2,2,51.51008646,-14,111
6,2,2,21.94915254,-34,128
8,2,2,-1.409574468,-113,83
9,2,2,-52.31826087,-159,81
10,2,2,4.530136986,-88,34
11,2,2,31.28540186,-33,110
12,2,2,44.01356994,-14,99
1,3,1,-43.89046867,-109,167
2,3,1,49.87761675,32,68
3,3,1,102.3578947,96,108
4,3,1,68.94194757,58,81
5,3,1,38.93292683,-7,83
6,3,1,108.5833333,79,136
8,3,1,21.11940299,-26,63
9,3,1,-34.03726708,-97,63
10,3,1,104.3398907,70,132
11,3,1,101.2922078,71,117
12,3,1,13.3326087,-13,39
1,3,2,32.61114449,-65,167
2,3,2,62.19299211,-128,130
3,3,2,62.77189409,-31,131
4,3,2,16.2225573,-19,47
5,3,2,47.62229102,-39,121
6,3,2,20.81481481,-34,106
8,3,2,3.364779874,-83,65
9,3,2,-10.86363636,-105,58
10,3,2,-43.00373134,-75,36
11,3,2,7.563873626,-18,72
12,3,2,53.57263643,-23,135
1,5,1,9.994397759,-7,27
2,5,1,37.67724868,-23,79
3,5,1,98.72222222,92,105
4,5,1,15.700409,-16,47
5,5,1,44.91666667,11,85
6,5,1,67.80597015,41,92
8,5,1,15.156,-25,77
9,5,1,11.5511811,-34,37
10,5,1,83.09439528,57,116
11,5,1,100.8814815,18,112
12,5,1,29.42283298,6,51
1,5,2,49.12874556,-20,109
2,5,2,98.25289256,-22,123
3,5,2,58.94067394,4,121
4,5,2,18.30225711,-10,130
5,5,2,29.36842105,-22,95
6,5,2,28.90825688,-17,89
8,5,2,12.26245847,-88,70
9,5,2,-2.653333333,-48,38
10,5,2,49.80238628,23,69
11,5,2,9.985174203,-21,114
12,5,2,38.71018651,-16,88
1,6,1,1.278947368,-23,23
2,6,1,33.85798817,4,64
3,6,1,93.86049544,78,109
4,6,1,13.19874339,-30,73
5,6,1,78.3490566,37,112
6,6,1,67.48453608,39,95
8,6,1,45.79381443,27,64
9,6,1,76.3667426,59,93
10,6,1,99.81818182,72,128
11,6,1,97.14705882,87,108
12,6,1,54.31791908,37,70
1,6,2,41.58851448,-49,134
2,6,2,43.97187758,-20,122
3,6,2,75.76504395,-8,130
4,6,2,65.13505747,-28,138
5,6,2,54.54508197,-27,102
6,6,2,35.71193416,-15,111
8,6,2,15.22516556,-91,66
9,6,2,91.3028169,56,117
10,6,2,52.0361727,18,83
11,6,2,8.703196347,-22,117
12,6,2,36.03839338,-20,93
1,8,1,0.588932806,-12,19
2,8,1,76.26027397,-1,127
3,8,1,87.24267101,73,106
4,8,1,115.6646341,101,134
5,8,1,46.84795322,-20,85
6,8,1,92.32802548,76,109
8,8,1,-8.95862069,-101,71
9,8,1,-24.28651685,-111,20
10,8,1,100.1940828,76,122
11,8,1,100.7727273,99,103
12,8,1,43.17532468,28,59
1,8,2,15.6664434,-17,39
2,8,2,69.1085044,-27,132
3,8,2,53.2527394,-27,131
4,8,2,63.67980296,2,130
5,8,2,28.82533589,-70,118
6,8,2,36.98887203,-61,164
8,8,2,9.1,-105,80
9,8,2,-76.84226646,-134,13
10,8,2,48.29742843,14,116
11,8,2,45.67501527,-11,125
12,8,2,51.50558659,-23,127
1,9,1,-12.99863201,-43,15
2,9,1,96.70099368,76,121
3,9,1,95.26145553,78,105
4,9,1,83.31954023,75,93
5,9,1,60.7029703,-21,114
6,9,1,124.3967742,100,143
8,9,1,52.55769231,36,68
9,9,1,21.296875,-45,81
10,9,1,105.0427447,78,134
11,9,1,105.015625,101,109
12,9,1,58.60854093,40,77
1,9,2,38.37680462,-53,128
2,9,2,21.07601881,-16,130
3,9,2,81.06140351,-13,132
4,9,2,50.43362832,-11,91
5,9,2,61.91624791,-33,123
6,9,2,-3.231796927,-65,128
8,9,2,12.55349794,-102,68
9,9,2,35.43163097,-91,107
10,9,2,21.55696203,-20,140
11,9,2,9.019017433,-15,116
12,9,2,54.52628839,-6,133
