subject,location,strenght,centroid,min,max
1,1,1,-36.32544007,-111,23
2,1,1,-7.505319149,-27,12
3,1,1,20.29433681,-24,61
4,1,1,128.9428076,110,143
5,1,1,42.55277778,17,67
6,1,1,-1.806094183,-26,13
8,1,1,-47.25546218,-98,13
9,1,1,-34.1886423,-109,40
10,1,1,98.49402628,64,132
11,1,1,106.375,99,115
12,1,1,54.11988582,-9,116
1,1,2,-13.43886612,-107,70
2,1,2,-16.82263514,-39,6
3,1,2,65.0435249,-10,136
4,1,2,132.6185897,122,144
5,1,2,48.69950125,-34,130
6,1,2,54.29098361,-18,125
8,1,2,-46.11950098,-107,8
9,1,2,-4.290748899,-38,19
10,1,2,22.59719143,-53,184
11,1,2,42.75521351,-16,110
12,1,2,52.36901865,-14,125
1,4,1,14.55609756,-1,31
2,4,1,2.928449744,-16,22
3,4,1,58.4752234,-24,115
4,4,1,1.972323379,-31,33
5,4,1,3.198417529,-66,80
6,4,1,73.28944505,40,116
8,4,1,-0.789036545,-28,29
9,4,1,3.210822999,-46,65
10,4,1,77.68552413,14,136
11,4,1,101.9919355,96,109
12,4,1,21.61468765,-34,86
1,4,2,48.51069873,-38,141
2,4,2,38.9244868,-29,119
3,4,2,85.83001894,46,116
4,4,2,1.622140897,-40,45
5,4,2,25.34298441,-22,95
6,4,2,60.87394958,37,88
8,4,2,-0.543193717,-34,34
9,4,2,4.74301676,-46,56
10,4,2,-22.49656256,-93,35
11,4,2,10.1498719,-34,106
12,4,2,32.83258427,-18,112
1,7,1,-2.183588317,-38,27
2,7,1,-0.134353741,-18,19
3,7,1,-4.19055794,-33,24
4,7,1,-0.254816112,-38,34
5,7,1,90.19035533,14,132
6,7,1,-15.46953938,-43,7
8,7,1,-44.22292994,-130,25
9,7,1,17.36909091,-63,102
10,7,1,108.5609756,89,130
11,7,1,98,96,100
12,7,1,49.53775744,27,76
1,7,2,35.69527632,-61,134
2,7,2,68.37246377,-14,132
3,7,2,18.30440587,-34,87
4,7,2,11.50096043,-22,45
5,7,2,45.88691182,-34,122
6,7,2,-17.66394113,-52,19
8,7,2,-31.84149723,-107,34
9,7,2,67.49942726,-18,135
10,7,2,40.95248955,-7,88
11,7,2,56.76421002,-18,115
12,7,2,38.08306414,-43,134
1,2,1,-90.79875195,-153,0
2,2,1,-65.74528302,-105,0
3,2,1,45.40909091,41,50
4,2,1,11.09167446,-18,32
5,2,1,-2.963350785,-29,26
6,2,1,52.87112172,28,81
8,2,1,6.442176871,-15,27
9,2,1,1.473572939,-25,35
10,2,1,48.10074074,19,75
11,2,1,10.40893471,-67,56
12,2,1,-8.888489209,-39,22
1,2,2,-23.40700703,-144,119
2,2,2,3.65338809,-69,78
3,2,2,1.849071308,-69,74
4,2,2,-14.47597043,-63,32
5,2,2,-2.182174888,-69,58
6,2,2,-13.25145914,-89,74
8,2,2,-63.6523835,-168,38
9,2,2,-110.643377,-214,26
10,2,2,-50.93387802,-143,129
11,2,2,-30.88844959,-91,56
12,2,2,-11.46418605,-70,44
1,3,1,-97.4029029,-164,112
2,3,1,-5.029007634,-24,13
3,3,1,47.39622642,41,54
4,3,1,14.04786325,3,26
5,3,1,-15.63422983,-62,30
6,3,1,52.2020202,23,81
8,3,1,-37.96428571,-81,8
9,3,1,-94.75712515,-152,9
10,3,1,49.48723187,15,77
11,3,1,45.67352941,11,62
12,3,1,-42.34351145,-73,0
1,3,2,-7.39395441,-121,121
2,3,2,-7.766140603,-185,75
3,3,2,-5.791542711,-89,76
4,3,2,-38.73040045,-74,0
5,3,2,-13.50964546,-94,67
6,3,2,-17.22743056,-89,54
8,3,2,-81.96166342,-176,22
9,3,2,-81.3728223,-160,3
10,3,2,-80.14157878,-130,6
11,3,2,-20.68323241,-73,54
12,3,2,6.180727874,-78,83
1,5,1,-44.91624365,-62,0
2,5,1,-17.45757335,-79,25
3,5,1,43.65,37,50
4,5,1,-39.33459357,-73,0
5,5,1,-9.800359712,-44,30
6,5,1,12.71884984,-14,38
8,5,1,-24.83618582,-80,22
9,5,1,-46.36969112,-89,0
10,5,1,28.37986577,1,70
11,5,1,7.477777778,-49,57
12,5,1,-25.4037037,-49,0
1,5,2,-5.938289254,-77,54
2,5,2,2.957538462,-89,69
3,5,2,-0.87394958,-55,67
4,5,2,0.692976104,-68,79
5,5,2,-30.50140933,-77,40
6,5,2,-18.32408236,-72,34
8,5,2,-59.20242424,-145,15
9,5,2,-64.0428641,-105,0
10,5,2,-5.205923836,-32,15
11,5,2,-23.15380605,-76,61
12,5,2,-3.598864223,-73,61
1,6,1,-53.71129032,-78,0
2,6,1,-21.00256937,-56,22
3,6,1,39.04029304,23,54
4,6,1,-41.94157862,-89,19
5,6,1,20.03712871,-19,57
6,6,1,12.57069409,-16,42
8,6,1,-8.730769231,-29,9
9,6,1,20.51054217,4,38
10,6,1,44.76349206,7,74
11,6,1,41.98941799,23,53
12,6,1,-0.82010582,-19,15
1,6,2,-13.90665658,-105,79
2,6,2,-10.7712766,-83,68
3,6,2,-6.411586393,-122,76
4,6,2,-7.52242701,-83,84
5,6,2,-26.10521662,-89,54
6,6,2,-6.241245136,-70,56
8,6,2,-66.78305882,-146,11
9,6,2,33.84363636,1,62
10,6,2,-1.458029197,-37,38
11,6,2,-4.70989011,-77,70
12,6,2,-7.726510807,-76,70
1,8,1,-54.27175844,-67,0
2,8,1,21.20342857,-57,73
3,8,1,32.28771384,17,51
4,8,1,60.68089054,45,79
5,8,1,-12.31313131,-75,31
6,8,1,37.35456476,19,55
8,8,1,-70.24497992,-156,16
9,8,1,-106.8463476,-169,0
10,8,1,45.5967033,21,67
