subject,location,strenght,centroid,min,max
1,1,1,-36.15481353,-110,23
2,1,1,-7.898854962,-27,11
3,1,1,20.80753809,-23,61
4,1,1,128.8141762,115,142
5,1,1,41.83941606,18,67
6,1,1,-0.157142857,-26,13
8,1,1,-36.6097561,-97,12
9,1,1,-28.31095406,-109,40
10,1,1,98.27577483,64,132
11,1,1,106.475,99,114
12,1,1,54.23248731,-8,115
1,1,2,-13.14074733,-107,69
2,1,2,-16.6925859,-38,5
3,1,2,76.33416708,-9,136
4,1,2,132.5232975,122,144
5,1,2,51.30813953,-33,130
6,1,2,25.7,-18,119
8,1,2,-32.94067797,-107,7
9,1,2,-5.396825397,-37,19
10,1,2,15.61538462,-44,100
11,1,2,10.92319508,-15,110
12,1,2,28.2102405,-13,120
1,4,1,14.408,-1,31
2,4,1,2.978062157,-16,22
3,4,1,59.95606327,-24,115
4,4,1,1.911696359,-30,33
5,4,1,25.3190184,-61,80
6,4,1,74.60483871,40,115
8,4,1,-0.397350993,-28,28
9,4,1,6.213114754,-46,61
10,4,1,77.78525933,19,136
11,4,1,102.0471698,96,109
12,4,1,9.611925709,-34,86
1,4,2,47.81648241,-37,141
2,4,2,38.58714859,-28,118
3,4,2,98.39371728,46,115
4,4,2,5.356896552,-40,43
5,4,2,29.36778846,-22,95
6,4,2,62.58333333,37,88
8,4,2,-1.683453237,-32,33
9,4,2,4.436619718,-46,56
10,4,2,1.681818182,-35,35
11,4,2,8.868921776,-31,38
12,4,2,-0.700170358,-17,112
1,7,1,-2.189069424,-37,26
2,7,1,-0.111310592,-18,19
3,7,1,-3.928571429,-32,24
4,7,1,0.101584343,-37,34
5,7,1,87.26041667,15,131
6,7,1,-16.02816901,-42,7
8,7,1,-22.79874214,-129,25
9,7,1,24.34306569,-63,102
10,7,1,108.3650953,89,130
11,7,1,98,96,100
12,7,1,49.24570025,27,72
1,7,2,45.88022849,-61,134
2,7,2,92.39660057,-12,131
3,7,2,20.07774086,-28,87
4,7,2,11.53144904,-22,45
5,7,2,39.32589286,-34,122
6,7,2,-17.89156627,-51,18
8,7,2,-16.53383459,-107,34
9,7,2,63.79057592,-18,135
10,7,2,40.83580891,-6,88
11,7,2,13.50511509,-16,109
12,7,2,-17.54831933,-43,131
1,2,1,-126.7451852,-153,0
2,2,1,-65.94767932,-105,0
3,2,1,45.48780488,41,50
4,2,1,7.727440147,-17,32
5,2,1,2.231884058,-26,26
6,2,1,57.9875,29,81
8,2,1,2.675675676,-15,27
9,2,1,-0.100671141,-25,35
10,2,1,48.3904,19,75
11,2,1,10.45283019,-67,56
12,2,1,-8.765873016,-39,22
1,2,2,-35.63740401,-144,119
2,2,2,-11.89815951,-68,78
3,2,2,-12.62181664,-69,73
4,2,2,4.217465753,-63,32
5,2,2,-3.489913545,-69,56
6,2,2,-33.05084746,-89,73
8,2,2,-56.40957447,-168,28
9,2,2,-107.3182609,-214,26
10,2,2,-50.46986301,-143,0
11,2,2,-23.71459814,-88,55
12,2,2,-10.98643006,-69,44
1,3,1,-98.89046867,-164,112
2,3,1,-5.122383253,-23,13
3,3,1,47.35789474,41,53
4,3,1,13.94194757,3,26
5,3,1,-16.06707317,-62,28
6,3,1,53.58333333,24,81
8,3,1,-33.88059701,-81,8
9,3,1,-89.03726708,-152,8
10,3,1,49.33989071,15,77
11,3,1,46.29220779,16,62
12,3,1,-41.6673913,-68,0
1,3,2,-22.38885551,-120,112
2,3,2,7.192992112,-183,75
3,3,2,7.771894094,-86,76
4,3,2,-38.7774427,-74,0
5,3,2,-7.377708978,-94,66
6,3,2,-34.18518519,-89,51
8,3,2,-51.63522013,-138,10
9,3,2,-65.86363636,-160,3
10,3,2,-98.00373134,-130,0
11,3,2,-47.43612637,-73,17
12,3,2,-1.427363566,-78,80
1,5,1,-45.00560224,-62,0
2,5,1,-17.32275132,-78,24
3,5,1,43.72222222,37,50
4,5,1,-39.299591,-71,0
5,5,1,-10.08333333,-44,30
6,5,1,12.80597015,-14,37
8,5,1,-39.844,-80,22
9,5,1,-43.4488189,-89,0
10,5,1,28.09439528,2,61
11,5,1,45.88148148,-37,57
12,5,1,-25.57716702,-49,0
1,5,2,-5.871254444,-75,54
2,5,2,43.25289256,-77,68
3,5,2,3.940673944,-51,66
4,5,2,-36.69774289,-65,75
5,5,2,-25.63157895,-77,40
6,5,2,-26.09174312,-72,34
8,5,2,-42.73754153,-143,15
9,5,2,-57.65333333,-103,0
10,5,2,-5.197613721,-32,14
11,5,2,-45.0148258,-76,59
12,5,2,-16.28981349,-71,33
1,6,1,-53.72105263,-78,0
2,6,1,-21.14201183,-51,9
3,6,1,38.86049544,23,54
4,6,1,-41.80125661,-85,18
5,6,1,23.3490566,-18,57
6,6,1,12.48453608,-16,40
8,6,1,-9.206185567,-28,9
9,6,1,21.3667426,4,38
10,6,1,44.81818182,17,73
11,6,1,42.14705882,32,53
12,6,1,-0.682080925,-18,15
1,6,2,-13.41148552,-104,79
2,6,2,-11.02812242,-75,67
3,6,2,20.76504395,-63,75
4,6,2,10.13505747,-83,83
5,6,2,-0.454918033,-82,47
6,6,2,-19.28806584,-70,56
8,6,2,-39.77483444,-146,11
9,6,2,36.3028169,1,62
10,6,2,-2.963827305,-37,28
11,6,2,-46.29680365,-77,62
12,6,2,-18.96160662,-75,38
1,8,1,-54.41106719,-67,0
2,8,1,21.26027397,-56,72
3,8,1,32.24267101,18,51
4,8,1,60.66463415,46,79
5,8,1,-8.152046784,-75,30
6,8,1,37.32802548,21,54
8,8,1,-63.95862069,-156,16
9,8,1,-79.28651685,-166,0
10,8,1,45.19408284,21,67
11,8,1,45.77272727,44,48
12,8,1,-11.82467532,-27,4
1,8,2,-39.3335566,-72,0
2,8,2,14.1085044,-82,77
3,8,2,-1.7472606,-82,76
4,8,2,8.679802956,-53,75
5,8,2,-26.17466411,-125,63
6,8,2,-18.01112797,-116,109
8,8,2,-45.9,-160,25
9,8,2,-131.8422665,-189,0
10,8,2,-6.702571567,-41,61
11,8,2,-9.324984728,-66,70
12,8,2,-3.494413408,-78,72
1,9,1,-67.99863201,-98,0
2,9,1,41.70099368,21,66
3,9,1,40.26145553,23,50
4,9,1,28.31954023,20,38
5,9,1,5.702970297,-76,59
6,9,1,69.39677419,45,88
8,9,1,-2.442307692,-19,13
9,9,1,-33.703125,-100,26
10,9,1,50.04274466,23,79
11,9,1,50.015625,46,54
12,9,1,3.608540925,-15,22
1,9,2,-16.62319538,-108,73
2,9,2,-33.92398119,-71,75
3,9,2,26.06140351,-68,77
4,9,2,-4.566371681,-66,36
5,9,2,6.916247906,-88,68
6,9,2,-58.23179693,-120,73
8,9,2,-42.44650206,-157,13
9,9,2,-19.56836903,-146,52
10,9,2,-33.44303797,-75,85
11,9,2,-45.98098257,-70,61
12,9,2,-0.473711609,-61,78
